Date/Time,Value,Unit,Averaging Hour
12/19/2020 10:00:00 AM,16,μg/m3,1 Hr
12/19/2020 11:00:00 AM,4,μg/m3,1 Hr
12/19/2020 12:00:00 PM,1,μg/m3,1 Hr
12/19/2020 1:00:00 PM,1,μg/m3,1 Hr
12/19/2020 2:00:00 PM,2,μg/m3,1 Hr
12/19/2020 3:00:00 PM,7,μg/m3,1 Hr
12/19/2020 4:00:00 PM,--,μg/m3,1 Hr
12/19/2020 5:00:00 PM,5,μg/m3,1 Hr
12/19/2020 6:00:00 PM,10,μg/m3,1 Hr
12/19/2020 7:00:00 PM,12,μg/m3,1 Hr
12/19/2020 8:00:00 PM,21,μg/m3,1 Hr
12/19/2020 9:00:00 PM,35,μg/m3,1 Hr
12/19/2020 10:00:00 PM,42,μg/m3,1 Hr
12/19/2020 11:00:00 PM,55,μg/m3,1 Hr
12/20/2020 12:00:00 AM,59,μg/m3,1 Hr
12/20/2020 1:00:00 AM,49,μg/m3,1 Hr
12/20/2020 2:00:00 AM,42,μg/m3,1 Hr
12/20/2020 3:00:00 AM,27,μg/m3,1 Hr
12/20/2020 4:00:00 AM,16,μg/m3,1 Hr
12/20/2020 5:00:00 AM,20,μg/m3,1 Hr
